Gap = 4
X_pos[mm]	Beff[T]	Bpeak[T]	Z_pos[mm]	By[T]
8.8	1.2833	1.2833	10.8	0.8349
9.0	1.2832	1.2832	11.1	0.9223
9.2	1.2832	1.2832	11.3	1.0051
9.3	1.2833	1.2833	11.5	1.0807
9.5	1.2834	1.2834	11.8	1.1464
9.7	1.2835	1.2835	12.0	1.2002
9.9	1.2837	1.2837	12.2	1.2405
10.1	1.2839	1.2839	12.4	1.2665
10.3	1.2840	1.2840	12.7	1.2781
10.5	1.2841	1.2841	12.9	1.2750
10.7	1.2842	1.2842	13.1	1.2573
10.8	1.2843	1.2843	13.4	1.2251
11.0	1.2844	1.2844	13.6	1.1790
11.2	1.2844	1.2844	13.8	1.1200
11.4	1.2843	1.2843	14.1	1.0497
11.6	1.2843	1.2843	14.3	0.9707
11.8	1.2842	1.2842	14.5	0.8855
12.0	1.2840	1.2840	14.8	0.7968
12.2	1.2838	1.2838	15.0	0.7068
12.4	1.2837	1.2837	15.2	0.6172
12.5	1.2835	1.2835	15.5	0.5290
12.7	1.2833	1.2833	15.7	0.4428
12.9	1.2831	1.2831	15.9	0.3588
13.1	1.2829	1.2829	16.2	0.2768
13.3	1.2828	1.2828	16.4	0.1965
13.5	1.2828	1.2828	16.6	0.1175
13.7	1.2828	1.2828	16.9	0.0393
13.9	1.2829	1.2829	17.1	-0.0386
14.1	1.2830	1.2830	17.3	-0.1167
14.2	1.2832	1.2832	17.6	-0.1957
14.4	1.2833	1.2833	17.8	-0.2759
14.6	1.2835	1.2835	18.0	-0.3579
14.8	1.2837	1.2837	18.3	-0.4419
15.0	1.2838	1.2838	18.5	-0.5280
Gap = 6
X_pos[mm]	Beff[T]	Bpeak[T]	Z_pos[mm]	By[T]
-15.0	0.7877	0.7877	-18.5	0.3786
-14.8	0.7876	0.7876	-18.3	0.3218
-14.6	0.7876	0.7876	-18.0	0.2642
-14.4	0.7875	0.7875	-17.8	0.2062
-14.2	0.7875	0.7875	-17.6	0.1480
-14.1	0.7875	0.7875	-17.3	0.0897
-13.9	0.7874	0.7874	-17.1	0.0313
-13.7	0.7874	0.7874	-16.9	-0.0270
-13.5	0.7874	0.7874	-16.6	-0.0853
-13.3	0.7874	0.7874	-16.4	-0.1436
-13.1	0.7875	0.7875	-16.2	-0.2017
-12.9	0.7875	0.7875	-15.9	-0.2595
-12.7	0.7875	0.7875	-15.7	-0.3169
-12.5	0.7876	0.7876	-15.5	-0.3735
-12.4	0.7876	0.7876	-15.2	-0.4289
-12.2	0.7877	0.7877	-15.0	-0.4827
-12.0	0.7877	0.7877	-14.8	-0.5343
-11.8	0.7878	0.7878	-14.5	-0.5829
-11.6	0.7878	0.7878	-14.3	-0.6278
-11.4	0.7878	0.7878	-14.1	-0.6682
-11.2	0.7878	0.7878	-13.8	-0.7034
-11.0	0.7878	0.7878	-13.6	-0.7327
-10.8	0.7878	0.7878	-13.4	-0.7555
-10.7	0.7878	0.7878	-13.1	-0.7715
-10.5	0.7878	0.7878	-12.9	-0.7804
-10.3	0.7877	0.7877	-12.7	-0.7820
-10.1	0.7877	0.7877	-12.4	-0.7763
-9.9	0.7877	0.7877	-12.2	-0.7633
-9.7	0.7876	0.7876	-12.0	-0.7434
-9.5	0.7876	0.7876	-11.8	-0.7169
-9.3	0.7876	0.7876	-11.5	-0.6842
-9.2	0.7876	0.7876	-11.3	-0.6461
-9.0	0.7876	0.7876	-11.1	-0.6031
-8.8	0.7876	0.7876	-10.8	-0.5561
-8.6	0.7876	0.7876	-10.6	-0.5059
-8.4	0.7876	0.7876	-10.4	-0.4531
-8.2	0.7877	0.7877	-10.1	-0.3985
-8.0	0.7877	0.7877	-9.9	-0.3425
-7.8	0.7877	0.7877	-9.7	-0.2856
-7.6	0.7878	0.7878	-9.4	-0.2282
-7.5	0.7878	0.7878	-9.2	-0.1704
-7.3	0.7879	0.7879	-9.0	-0.1125
-7.1	0.7879	0.7879	-8.7	-0.0544
-6.9	0.7879	0.7879	-8.5	0.0037
-6.7	0.7879	0.7879	-8.3	0.0618
-6.5	0.7879	0.7879	-8.0	0.1198
-6.3	0.7879	0.7879	-7.8	0.1778
-6.1	0.7879	0.7879	-7.6	0.2356
-5.9	0.7878	0.7878	-7.3	0.2931
-5.8	0.7878	0.7878	-7.1	0.3500
-5.6	0.7878	0.7878	-6.9	0.4059
-5.4	0.7877	0.7877	-6.6	0.4606
-5.2	0.7877	0.7877	-6.4	0.5133
-5.0	0.7877	0.7877	-6.2	0.5635
-4.8	0.7876	0.7876	-5.9	0.6104
-4.6	0.7876	0.7876	-5.7	0.6532
-4.4	0.7876	0.7876	-5.5	0.6912
-4.2	0.7876	0.7876	-5.2	0.7236
-4.1	0.7876	0.7876	-5.0	0.7499
-3.9	0.7877	0.7877	-4.8	0.7695
-3.7	0.7877	0.7877	-4.5	0.7821
-3.5	0.7878	0.7878	-4.3	0.7874
-3.3	0.7878	0.7878	-4.1	0.7855
-3.1	0.7878	0.7878	-3.8	0.7762
-2.9	0.7879	0.7879	-3.6	0.7598
-2.7	0.7879	0.7879	-3.4	0.7366
-2.5	0.7879	0.7879	-3.1	0.7069
-2.4	0.7879	0.7879	-2.9	0.6713
-2.2	0.7879	0.7879	-2.7	0.6306
-2.0	0.7879	0.7879	-2.4	0.5855
-1.8	0.7879	0.7879	-2.2	0.5366
-1.6	0.7879	0.7879	-2.0	0.4849
-1.4	0.7879	0.7879	-1.7	0.4310
-1.2	0.7878	0.7878	-1.5	0.3755
-1.0	0.7878	0.7878	-1.3	0.3188
-0.8	0.7877	0.7877	-1.0	0.2615
-0.7	0.7877	0.7877	-0.8	0.2036
-0.5	0.7877	0.7877	-0.6	0.1456
-0.3	0.7877	0.7877	-0.3	0.0874
-0.1	0.7876	0.7876	-0.1	0.0291
0.1	0.7876	0.7876	0.1	-0.0291
0.3	0.7877	0.7877	0.3	-0.0874
0.5	0.7877	0.7877	0.6	-0.1456
0.7	0.7877	0.7877	0.8	-0.2036
0.8	0.7877	0.7877	1.0	-0.2615
1.0	0.7878	0.7878	1.3	-0.3188
1.2	0.7878	0.7878	1.5	-0.3755
1.4	0.7879	0.7879	1.7	-0.4310
1.6	0.7879	0.7879	2.0	-0.4849
1.8	0.7879	0.7879	2.2	-0.5366
2.0	0.7879	0.7879	2.4	-0.5855
2.2	0.7879	0.7879	2.7	-0.6306
2.4	0.7879	0.7879	2.9	-0.6713
2.5	0.7879	0.7879	3.1	-0.7069
2.7	0.7879	0.7879	3.4	-0.7366
2.9	0.7879	0.7879	3.6	-0.7598
3.1	0.7878	0.7878	3.8	-0.7762
3.3	0.7878	0.7878	4.1	-0.7855
3.5	0.7878	0.7878	4.3	-0.7874
3.7	0.7877	0.7877	4.5	-0.7821
3.9	0.7877	0.7877	4.8	-0.7695
4.1	0.7876	0.7876	5.0	-0.7499
4.2	0.7876	0.7876	5.2	-0.7236
4.4	0.7876	0.7876	5.5	-0.6912
4.6	0.7876	0.7876	5.7	-0.6532
4.8	0.7876	0.7876	5.9	-0.6104
5.0	0.7877	0.7877	6.2	-0.5635
5.2	0.7877	0.7877	6.4	-0.5133
5.4	0.7877	0.7877	6.6	-0.4606
5.6	0.7878	0.7878	6.9	-0.4059
5.8	0.7878	0.7878	7.1	-0.3500
5.9	0.7878	0.7878	7.3	-0.2931
6.1	0.7879	0.7879	7.6	-0.2356
6.3	0.7879	0.7879	7.8	-0.1778
6.5	0.7879	0.7879	8.0	-0.1198
6.7	0.7879	0.7879	8.3	-0.0618
6.9	0.7879	0.7879	8.5	-0.0037
7.1	0.7879	0.7879	8.7	0.0544
7.3	0.7879	0.7879	9.0	0.1125
7.5	0.7878	0.7878	9.2	0.1704
7.6	0.7878	0.7878	9.4	0.2282
7.8	0.7877	0.7877	9.7	0.2856
8.0	0.7877	0.7877	9.9	0.3425
8.2	0.7877	0.7877	10.1	0.3985
8.4	0.7876	0.7876	10.4	0.4531
8.6	0.7876	0.7876	10.6	0.5059
8.8	0.7876	0.7876	10.8	0.5561
9.0	0.7876	0.7876	11.1	0.6031
9.2	0.7876	0.7876	11.3	0.6461
9.3	0.7876	0.7876	11.5	0.6842
9.5	0.7876	0.7876	11.8	0.7169
9.7	0.7876	0.7876	12.0	0.7434
9.9	0.7877	0.7877	12.2	0.7633
10.1	0.7877	0.7877	12.4	0.7763
10.3	0.7877	0.7877	12.7	0.7820
10.5	0.7878	0.7878	12.9	0.7804
10.7	0.7878	0.7878	13.1	0.7715
10.8	0.7878	0.7878	13.4	0.7555
11.0	0.7878	0.7878	13.6	0.7327
11.2	0.7878	0.7878	13.8	0.7034
11.4	0.7878	0.7878	14.1	0.6682
11.6	0.7878	0.7878	14.3	0.6278
11.8	0.7878	0.7878	14.5	0.5829
12.0	0.7877	0.7877	14.8	0.5343
12.2	0.7877	0.7877	15.0	0.4827
12.4	0.7876	0.7876	15.2	0.4289
12.5	0.7876	0.7876	15.5	0.3735
12.7	0.7875	0.7875	15.7	0.3169
12.9	0.7875	0.7875	15.9	0.2595
13.1	0.7875	0.7875	16.2	0.2017
13.3	0.7874	0.7874	16.4	0.1436
13.5	0.7874	0.7874	16.6	0.0853
13.7	0.7874	0.7874	16.9	0.0270
13.9	0.7874	0.7874	17.1	-0.0313
14.1	0.7875	0.7875	17.3	-0.0897
14.2	0.7875	0.7875	17.6	-0.1480
14.4	0.7875	0.7875	17.8	-0.2062
14.6	0.7876	0.7876	18.0	-0.2642
14.8	0.7876	0.7876	18.3	-0.3218
15.0	0.7877	0.7877	18.5	-0.3786
Gap = 8
X_pos[mm]	Beff[T]	Bpeak[T]	Z_pos[mm]	By[T]
-15.0	0.5155	0.5155	-18.5	0.2653
-14.8	0.5155	0.5155	-18.3	0.2272
-14.6	0.5155	0.5155	-18.0	0.1880
-14.4	0.5155	0.5155	-17.8	0.1479
-14.2	0.5155	0.5155	-17.6	0.1071
-14.1	0.5155	0.5155	-17.3	0.0659
-13.9	0.5155	0.5155	-17.1	0.0245
-13.7	0.5155	0.5155	-16.9	-0.0170
-13.5	0.5155	0.5155	-16.6	-0.0584
-13.3	0.5155	0.5155	-16.4	-0.0995
-13.1	0.5155	0.5155	-16.2	-0.1402
-12.9	0.5155	0.5155	-15.9	-0.1801
-12.7	0.5155	0.5155	-15.7	-0.2191
-12.5	0.5155	0.5155	-15.5	-0.2569
-12.4	0.5155	0.5155	-15.2	-0.2933
-12.2	0.5156	0.5156	-15.0	-0.3280
-12.0	0.5156	0.5156	-14.8	-0.3605
-11.8	0.5156	0.5156	-14.5	-0.3907
-11.6	0.5156	0.5156	-14.3	-0.4181
-11.4	0.5156	0.5156	-14.1	-0.4425
-11.2	0.5156	0.5156	-13.8	-0.4635
-11.0	0.5156	0.5156	-13.6	-0.4808
-10.8	0.5156	0.5156	-13.4	-0.4943
-10.7	0.5156	0.5156	-13.1	-0.5037
-10.5	0.5156	0.5156	-12.9	-0.5090
