Gap = 4
X_pos[mm]	Beff[T]	Bpeak[T]	Z_pos[mm]	By[T]
-15.0	1.3860	1.3860	-18.5	0.5607
-14.8	1.3861	1.3861	-18.3	0.4691
-14.6	1.3861	1.3861	-18.0	0.3798
-14.4	1.3861	1.3861	-17.8	0.2926
-14.2	1.3861	1.3861	-17.6	0.2071
-14.1	1.3861	1.3861	-17.3	0.1229
-13.9	1.3862	1.3862	-17.1	0.0394
-13.7	1.3862	1.3862	-16.9	-0.0437
-13.5	1.3862	1.3862	-16.6	-0.1272
-13.3	1.3862	1.3862	-16.4	-0.2115
-13.1	1.3862	1.3862	-16.2	-0.2971
-12.9	1.3862	1.3862	-15.9	-0.3845
-12.7	1.3862	1.3862	-15.7	-0.4741
-12.5	1.3862	1.3862	-15.5	-0.5659
-12.4	1.3862	1.3862	-15.2	-0.6598
-12.2	1.3863	1.3863	-15.0	-0.7555
-12.0	1.3863	1.3863	-14.8	-0.8519
-11.8	1.3863	1.3863	-14.5	-0.9474
-11.6	1.3863	1.3863	-14.3	-1.0398
-11.4	1.3863	1.3863	-14.1	-1.1263
-11.2	1.3863	1.3863	-13.8	-1.2040
-11.0	1.3863	1.3863	-13.6	-1.2703
-10.8	1.3863	1.3863	-13.4	-1.3227
-10.7	1.3863	1.3863	-13.1	-1.3597
-10.5	1.3863	1.3863	-12.9	-1.3803
-10.3	1.3863	1.3863	-12.7	-1.3838
-10.1	1.3863	1.3863	-12.4	-1.3704
-9.9	1.3863	1.3863	-12.2	-1.3402
-9.7	1.3863	1.3863	-12.0	-1.2941
-9.5	1.3863	1.3863	-11.8	-1.2334
-9.3	1.3863	1.3863	-11.5	-1.1602
-9.2	1.3863	1.3863	-11.3	-1.0771
-9.0	1.3863	1.3863	-11.1	-0.9869
-8.8	1.3863	1.3863	-10.8	-0.8925
-8.6	1.3863	1.3863	-10.6	-0.7964
-8.4	1.3863	1.3863	-10.4	-0.7003
-8.2	1.3863	1.3863	-10.1	-0.6057
-8.0	1.3863	1.3863	-9.9	-0.5130
-7.8	1.3863	1.3863	-9.7	-0.4227
-7.6	1.3863	1.3863	-9.4	-0.3346
-7.5	1.3863	1.3863	-9.2	-0.2484
-7.3	1.3863	1.3863	-9.0	-0.1637
-7.1	1.3863	1.3863	-8.7	-0.0801
-6.9	1.3863	1.3863	-8.5	0.0030
-6.7	1.3863	1.3863	-8.3	0.0861
-6.5	1.3863	1.3863	-8.0	0.1698
-6.3	1.3863	1.3863	-7.8	0.2545
-6.1	1.3863	1.3863	-7.6	0.3408
-5.9	1.3863	1.3863	-7.3	0.4291
-5.8	1.3863	1.3863	-7.1	0.5195
-5.6	1.3863	1.3863	-6.9	0.6123
-5.4	1.3863	1.3863	-6.6	0.7071
-5.2	1.3863	1.3863	-6.4	0.8032
-5.0	1.3863	1.3863	-6.2	0.8993
-4.8	1.3863	1.3863	-5.9	0.9935
-4.6	1.3863	1.3863	-5.7	1.0835
-4.4	1.3863	1.3863	-5.5	1.1662
-4.2	1.3863	1.3863	-5.2	1.2388
-4.1	1.3863	1.3863	-5.0	1.2987
-3.9	1.3863	1.3863	-4.8	1.3440
-3.7	1.3863	1.3863	-4.5	1.3733
-3.5	1.3863	1.3863	-4.3	1.3858
-3.3	1.3863	1.3863	-4.1	1.3813
-3.1	1.3863	1.3863	-3.8	1.3599
-2.9	1.3863	1.3863	-3.6	1.3220
-2.7	1.3863	1.3863	-3.4	1.2688
-2.5	1.3863	1.3863	-3.1	1.2019
-2.4	1.3863	1.3863	-2.9	1.1236
-2.2	1.3863	1.3863	-2.7	1.0367
-2.0	1.3863	1.3863	-2.4	0.9441
-1.8	1.3863	1.3863	-2.2	0.8485
-1.6	1.3863	1.3863	-2.0	0.7522
-1.4	1.3863	1.3863	-1.7	0.6566
-1.2	1.3863	1.3863	-1.5	0.5628
-1.0	1.3863	1.3863	-1.3	0.4712
-0.8	1.3863	1.3863	-1.0	0.3818
-0.7	1.3863	1.3863	-0.8	0.2946
-0.5	1.3863	1.3863	-0.6	0.2091
-0.3	1.3863	1.3863	-0.3	0.1249
-0.1	1.3863	1.3863	-0.1	0.0415
