Gap = 4
X_pos[mm]	Beff[T]	Bpeak[T]	Z_pos[mm]	By[T]
-20.0	1.1778	1.1773	-18.5	0.5280
-19.5	1.1781	1.1776	-18.0	0.3546
-19.0	1.1781	1.1776	-17.6	0.1894
-18.5	1.1780	1.1775	-17.1	0.0293
-17.9	1.1780	1.1775	-16.6	-0.1301
-17.4	1.1783	1.1778	-16.1	-0.2930
-16.9	1.1788	1.1783	-15.7	-0.4632
-16.4	1.1792	1.1788	-15.2	-0.6420
-15.9	1.1795	1.1790	-14.7	-0.8253
-15.4	1.1795	1.1791	-14.2	-0.9999
-14.9	1.1794	1.1789	-13.8	-1.1450
-14.4	1.1791	1.1786	-13.3	-1.2410
-13.8	1.1789	1.1784	-12.8	-1.2783
-13.3	1.1789	1.1784	-12.3	-1.2548
-12.8	1.1791	1.1786	-11.9	-1.1718
-12.3	1.1794	1.1789	-11.4	-1.0365
-11.8	1.1797	1.1792	-10.9	-0.8669
-11.3	1.1798	1.1793	-10.4	-0.6844
-10.8	1.1798	1.1793	-10.0	-0.5042
-10.3	1.1796	1.1791	-9.5	-0.3324
-9.7	1.1794	1.1789	-9.0	-0.1684
-9.2	1.1792	1.1787	-8.5	-0.0091
-8.7	1.1792	1.1787	-8.1	0.1499
-8.2	1.1794	1.1789	-7.6	0.3131
-7.7	1.1797	1.1792	-7.1	0.4840
-7.2	1.1799	1.1794	-6.6	0.6634
-6.7	1.1800	1.1795	-6.2	0.8465
-6.2	1.1799	1.1794	-5.7	1.0194
-5.6	1.1797	1.1792	-5.2	1.1608
-5.1	1.1794	1.1790	-4.7	1.2518
-4.6	1.1793	1.1788	-4.3	1.2835
-4.1	1.1794	1.1789	-3.8	1.2542
-3.6	1.1796	1.1791	-3.3	1.1654
-3.1	1.1798	1.1793	-2.8	1.0256
-2.6	1.1800	1.1795	-2.4	0.8534
-2.1	1.1800	1.1795	-1.9	0.6702
-1.5	1.1799	1.1794	-1.4	0.4902
-1.0	1.1797	1.1792	-0.9	0.3188
-0.5	1.1794	1.1790	-0.5	0.1552
-0.0	1.1793	1.1789	0.0	-0.0042
0.5	1.1794	1.1790	0.5	-0.1638
1.0	1.1797	1.1792	1.0	-0.3278
1.5	1.1799	1.1794	1.4	-0.4996
2.0	1.1800	1.1795	1.9	-0.6799
2.6	1.1800	1.1795	2.4	-0.8630
3.1	1.1798	1.1793	2.9	-1.0341
3.6	1.1796	1.1791	3.3	-1.1715
4.1	1.1794	1.1789	3.8	-1.2573
4.6	1.1793	1.1788	4.3	-1.2833
5.1	1.1794	1.1790	4.8	-1.2484
5.6	1.1797	1.1792	5.2	-1.1544
6.1	1.1799	1.1794	5.7	-1.0108
6.7	1.1800	1.1795	6.2	-0.8369
7.2	1.1799	1.1794	6.7	-0.6537
7.7	1.1797	1.1792	7.1	-0.4746
8.2	1.1794	1.1789	7.6	-0.3043
8.7	1.1792	1.1787	8.1	-0.1414
9.2	1.1792	1.1787	8.6	0.0176
9.7	1.1793	1.1789	9.0	0.1770
10.2	1.1796	1.1791	9.5	0.3413
10.8	1.1798	1.1793	10.0	0.5137
11.3	1.1798	1.1794	10.5	0.6942
11.8	1.1797	1.1792	10.9	0.8764
12.3	1.1794	1.1789	11.4	1.0448
12.8	1.1791	1.1786	11.9	1.1776
13.3	1.1789	1.1784	12.4	1.2576
13.8	1.1789	1.1784	12.8	1.2778
14.3	1.1791	1.1786	13.3	1.2373
14.9	1.1794	1.1789	13.8	1.1383
15.4	1.1795	1.1791	14.3	0.9911
15.9	1.1795	1.1790	14.7	0.8156
16.4	1.1792	1.1788	15.2	0.6323
16.9	1.1788	1.1783	15.7	0.4539
17.4	1.1783	1.1778	16.2	0.2841
17.9	1.1780	1.1775	16.6	0.1215
18.4	1.1780	1.1775	17.1	-0.0377
19.0	1.1781	1.1776	17.6	-0.1980
19.5	1.1781	1.1776	18.1	-0.3636
20.0	1.1778	1.1773	18.5	-0.5375
20.5	1.1771	1.1766	19.0	-0.7195
Gap = 6
X_pos[mm]	Beff[T]	Bpeak[T]	Z_pos[mm]	By[T]
-20.0	0.7533	0.7533	-18.5	0.3786
-19.5	0.7538	0.7537	-18.0	0.2619
-19.0	0.7541	0.7540	-17.6	0.1434
-18.5	0.7542	0.7541	-17.1	0.0244
-17.9	0.7543	0.7543	-16.6	-0.0946
-17.4	0.7545	0.7544	-16.1	-0.2132
-16.9	0.7546	0.7546	-15.7	-0.3305
-16.4	0.7548	0.7547	-15.2	-0.4441
-15.9	0.7549	0.7549	-14.7	-0.5501
-15.4	0.7549	0.7549	-14.2	-0.6428
-14.9	0.7549	0.7549	-13.8	-0.7158
-14.4	0.7548	0.7548	-13.3	-0.7634
-13.8	0.7548	0.7547	-12.8	-0.7821
-13.3	0.7548	0.7547	-12.3	-0.7705
-12.8	0.7549	0.7548	-11.9	-0.7294
-12.3	0.7550	0.7549	-11.4	-0.6620
-11.8	0.7551	0.7550	-10.9	-0.5735
-11.3	0.7551	0.7550	-10.4	-0.4703
-10.8	0.7551	0.7550	-10.0	-0.3584
-10.3	0.7550	0.7550	-9.5	-0.2422
-9.7	0.7550	0.7549	-9.0	-0.1243
-9.2	0.7549	0.7548	-8.5	-0.0058
-8.7	0.7549	0.7549	-8.1	0.1127
-8.2	0.7550	0.7549	-7.6	0.2308
-7.7	0.7551	0.7550	-7.1	0.3475
-7.2	0.7551	0.7551	-6.6	0.4604
-6.7	0.7552	0.7551	-6.2	0.5652
-6.2	0.7551	0.7551	-5.7	0.6563
-5.6	0.7551	0.7550	-5.2	0.7270
-5.1	0.7550	0.7549	-4.7	0.7719
-4.6	0.7550	0.7549	-4.3	0.7876
-4.1	0.7550	0.7549	-3.8	0.7730
-3.6	0.7550	0.7550	-3.3	0.7290
-3.1	0.7551	0.7551	-2.8	0.6590
-2.6	0.7552	0.7551	-2.4	0.5685
-2.1	0.7552	0.7551	-1.9	0.4638
-1.5	0.7552	0.7551	-1.4	0.3509
-1.0	0.7551	0.7550	-0.9	0.2341
-0.5	0.7550	0.7550	-0.5	0.1157
-0.0	0.7550	0.7549	0.0	-0.0032
0.5	0.7550	0.7549	0.5	-0.1220
1.0	0.7551	0.7550	1.0	-0.2403
1.5	0.7552	0.7551	1.4	-0.3571
2.0	0.7552	0.7551	1.9	-0.4697
2.6	0.7552	0.7551	2.4	-0.5737
3.1	0.7551	0.7551	2.9	-0.6633
3.6	0.7551	0.7550	3.3	-0.7320
4.1	0.7550	0.7549	3.8	-0.7745
4.6	0.7550	0.7549	4.3	-0.7876
5.1	0.7550	0.7549	4.8	-0.7702
5.6	0.7551	0.7550	5.2	-0.7238
6.1	0.7551	0.7551	5.7	-0.6519
6.7	0.7552	0.7551	6.2	-0.5599
7.2	0.7551	0.7551	6.7	-0.4545
7.7	0.7551	0.7550	7.1	-0.3413
8.2	0.7550	0.7549	7.6	-0.2245
8.7	0.7549	0.7549	8.1	-0.1064
9.2	0.7549	0.7548	8.6	0.0121
9.7	0.7550	0.7549	9.0	0.1306
10.2	0.7550	0.7550	9.5	0.2485
10.8	0.7551	0.7550	10.0	0.3645
11.3	0.7551	0.7550	10.5	0.4761
11.8	0.7551	0.7550	10.9	0.5787
12.3	0.7550	0.7549	11.4	0.6662
12.8	0.7549	0.7548	11.9	0.7323
13.3	0.7548	0.7547	12.4	0.7718
13.8	0.7548	0.7547	12.8	0.7818
14.3	0.7548	0.7548	13.3	0.7616
14.9	0.7549	0.7548	13.8	0.7125
15.4	0.7549	0.7549	14.3	0.6383
15.9	0.7549	0.7549	14.7	0.5447
