Gap = 4
X_pos[mm]	Beff[T]	Bpeak[T]	Z_pos[mm]	By[T]
-15.0	1.3814	1.3814	-18.5	0.5565
-14.8	1.3814	1.3814	-18.3	0.4654
-14.6	1.3814	1.3814	-18.0	0.3766
-14.4	1.3815	1.3815	-17.8	0.2901
-14.2	1.3815	1.3815	-17.6	0.2053
-14.1	1.3815	1.3815	-17.3	0.1219
-13.9	1.3815	1.3815	-17.1	0.0392
-13.7	1.3815	1.3815	-16.9	-0.0431
-13.5	1.3815	1.3815	-16.6	-0.1258
-13.3	1.3815	1.3815	-16.4	-0.2093
-13.1	1.3816	1.3816	-16.2	-0.2943
-12.9	1.3816	1.3816	-15.9	-0.3810
-12.7	1.3816	1.3816	-15.7	-0.4699
-12.5	1.3816	1.3816	-15.5	-0.5612
-12.4	1.3816	1.3816	-15.2	-0.6548
-12.2	1.3816	1.3816	-15.0	-0.7502
-12.0	1.3816	1.3816	-14.8	-0.8464
-11.8	1.3816	1.3816	-14.5	-0.9418
-11.6	1.3816	1.3816	-14.3	-1.0342
-11.4	1.3816	1.3816	-14.1	-1.1208
-11.2	1.3816	1.3816	-13.8	-1.1987
-11.0	1.3816	1.3816	-13.6	-1.2650
-10.8	1.3816	1.3816	-13.4	-1.3176
-10.7	1.3816	1.3816	-13.1	-1.3547
-10.5	1.3816	1.3816	-12.9	-1.3753
-10.3	1.3816	1.3816	-12.7	-1.3789
-10.1	1.3816	1.3816	-12.4	-1.3654
-9.9	1.3816	1.3816	-12.2	-1.3351
-9.7	1.3816	1.3816	-12.0	-1.2889
-9.5	1.3816	1.3816	-11.8	-1.2281
-9.3	1.3816	1.3816	-11.5	-1.1548
-9.2	1.3816	1.3816	-11.3	-1.0715
-9.0	1.3817	1.3817	-11.1	-0.9813
-8.8	1.3817	1.3817	-10.8	-0.8869
-8.6	1.3817	1.3817	-10.6	-0.7909
-8.4	1.3817	1.3817	-10.4	-0.6951
-8.2	1.3817	1.3817	-10.1	-0.6008
-8.0	1.3817	1.3817	-9.9	-0.5087
-7.8	1.3817	1.3817	-9.7	-0.4189
-7.6	1.3817	1.3817	-9.4	-0.3314
-7.5	1.3817	1.3817	-9.2	-0.2459
-7.3	1.3817	1.3817	-9.0	-0.1620
-7.1	1.3817	1.3817	-8.7	-0.0792
-6.9	1.3817	1.3817	-8.5	0.0031
-6.7	1.3817	1.3817	-8.3	0.0854
-6.5	1.3817	1.3817	-8.0	0.1682
-6.3	1.3817	1.3817	-7.8	0.2522
-6.1	1.3817	1.3817	-7.6	0.3378
-5.9	1.3817	1.3817	-7.3	0.4254
-5.8	1.3817	1.3817	-7.1	0.5153
-5.6	1.3817	1.3817	-6.9	0.6077
-5.4	1.3817	1.3817	-6.6	0.7021
-5.2	1.3817	1.3817	-6.4	0.7980
-5.0	1.3817	1.3817	-6.2	0.8940
-4.8	1.3817	1.3817	-5.9	0.9882
-4.6	1.3817	1.3817	-5.7	1.0782
-4.4	1.3817	1.3817	-5.5	1.1610
-4.2	1.3817	1.3817	-5.2	1.2337
-4.1	1.3817	1.3817	-5.0	1.2938
-3.9	1.3817	1.3817	-4.8	1.3392
-3.7	1.3817	1.3817	-4.5	1.3686
-3.5	1.3817	1.3817	-4.3	1.3812
