Gap = 4
X_pos[mm]	Beff[T]	Bpeak[T]	Z_pos[mm]	By[T]
-15.0	1.1836	1.1831	-18.5	0.5310
-14.9	1.1836	1.1831	-18.4	0.4876
-14.8	1.1836	1.1832	-18.3	0.4446
-14.7	1.1837	1.1832	-18.2	0.4023
-14.6	1.1837	1.1832	-18.0	0.3604
-14.5	1.1837	1.1832	-17.9	0.3191
-14.4	1.1837	1.1833	-17.8	0.2783
-14.3	1.1837	1.1833	-17.7	0.2378
-14.2	1.1837	1.1833	-17.6	0.1978
-14.2	1.1837	1.1833	-17.5	0.1581
-14.1	1.1837	1.1833	-17.3	0.1186
-14.0	1.1837	1.1833	-17.2	0.0794
-13.9	1.1837	1.1832	-17.1	0.0403
-13.8	1.1837	1.1832	-17.0	0.0012
-13.7	1.1837	1.1832	-16.9	-0.0378
-13.6	1.1837	1.1832	-16.8	-0.0769
-13.5	1.1836	1.1832	-16.6	-0.1162
-13.4	1.1836	1.1831	-16.5	-0.1556
-13.3	1.1836	1.1831	-16.4	-0.1954
-13.2	1.1835	1.1831	-16.3	-0.2354
-13.1	1.1835	1.1830	-16.2	-0.2758
-13.0	1.1835	1.1830	-16.1	-0.3166
-12.9	1.1835	1.1830	-15.9	-0.3579
-12.8	1.1835	1.1830	-15.8	-0.3998
-12.7	1.1835	1.1830	-15.7	-0.4421
-12.6	1.1835	1.1830	-15.6	-0.4850
-12.6	1.1835	1.1830	-15.5	-0.5284
-12.5	1.1835	1.1830	-15.4	-0.5723
-12.4	1.1835	1.1830	-15.3	-0.6167
-12.3	1.1835	1.1830	-15.1	-0.6614
-12.2	1.1835	1.1831	-15.0	-0.7064
-12.1	1.1836	1.1831	-14.9	-0.7515
-12.0	1.1836	1.1831	-14.8	-0.7965
-11.9	1.1836	1.1832	-14.7	-0.8412
-11.8	1.1837	1.1832	-14.6	-0.8853
-11.7	1.1837	1.1832	-14.4	-0.9285
-11.6	1.1837	1.1833	-14.3	-0.9706
-11.5	1.1838	1.1833	-14.2	-1.0111
-11.4	1.1838	1.1833	-14.1	-1.0498
-11.3	1.1838	1.1834	-14.0	-1.0863
-11.2	1.1839	1.1834	-13.9	-1.1203
-11.1	1.1839	1.1834	-13.7	-1.1515
-11.1	1.1839	1.1834	-13.6	-1.1797
-11.0	1.1839	1.1835	-13.5	-1.2047
-10.9	1.1839	1.1835	-13.4	-1.2264
-10.8	1.1839	1.1835	-13.3	-1.2445
-10.7	1.1839	1.1835	-13.2	-1.2592
-10.6	1.1839	1.1835	-13.0	-1.2703
-10.5	1.1839	1.1835	-12.9	-1.2778
-10.4	1.1839	1.1835	-12.8	-1.2816
-10.3	1.1839	1.1834	-12.7	-1.2819
-10.2	1.1839	1.1834	-12.6	-1.2786
-10.1	1.1839	1.1834	-12.5	-1.2717
-10.0	1.1838	1.1834	-12.4	-1.2612
-9.9	1.1838	1.1833	-12.2	-1.2471
-9.8	1.1838	1.1833	-12.1	-1.2295
-9.7	1.1838	1.1833	-12.0	-1.2084
-9.6	1.1837	1.1833	-11.9	-1.1839
-9.5	1.1837	1.1832	-11.8	-1.1562
-9.5	1.1837	1.1832	-11.7	-1.1254
-9.4	1.1837	1.1832	-11.5	-1.0919
-9.3	1.1837	1.1832	-11.4	-1.0558
-9.2	1.1837	1.1832	-11.3	-1.0175
-9.1	1.1837	1.1832	-11.2	-0.9772
-9.0	1.1837	1.1832	-11.1	-0.9354
-8.9	1.1837	1.1832	-11.0	-0.8924
-8.8	1.1837	1.1832	-10.8	-0.8484
-8.7	1.1837	1.1832	-10.7	-0.8039
-8.6	1.1837	1.1832	-10.6	-0.7590
-8.5	1.1837	1.1833	-10.5	-0.7140
-8.4	1.1838	1.1833	-10.4	-0.6690
-8.3	1.1838	1.1833	-10.3	-0.6243
-8.2	1.1838	1.1833	-10.1	-0.5800
-8.1	1.1838	1.1834	-10.0	-0.5361
-8.0	1.1839	1.1834	-9.9	-0.4927
-7.9	1.1839	1.1834	-9.8	-0.4498
-7.9	1.1839	1.1835	-9.7	-0.4074
-7.8	1.1840	1.1835	-9.6	-0.3656
-7.7	1.1840	1.1835	-9.5	-0.3243
-7.6	1.1840	1.1835	-9.3	-0.2835
-7.5	1.1840	1.1836	-9.2	-0.2431
-7.4	1.1840	1.1836	-9.1	-0.2031
-7.3	1.1840	1.1836	-9.0	-0.1635
-7.2	1.1841	1.1836	-8.9	-0.1241
-7.1	1.1841	1.1836	-8.8	-0.0849
-7.0	1.1840	1.1836	-8.6	-0.0459
-6.9	1.1840	1.1836	-8.5	-0.0070
-6.8	1.1840	1.1836	-8.4	0.0320
-6.7	1.1840	1.1835	-8.3	0.0710
-6.6	1.1840	1.1835	-8.2	0.1101
-6.5	1.1840	1.1835	-8.1	0.1494
-6.4	1.1840	1.1835	-7.9	0.1889
-6.3	1.1839	1.1835	-7.8	0.2288
-6.3	1.1839	1.1834	-7.7	0.2690
-6.2	1.1839	1.1834	-7.6	0.3097
-6.1	1.1839	1.1834	-7.5	0.3508
-6.0	1.1838	1.1834	-7.4	0.3924
-5.9	1.1838	1.1833	-7.2	0.4345
-5.8	1.1838	1.1833	-7.1	0.4772
-5.7	1.1838	1.1833	-7.0	0.5205
-5.6	1.1838	1.1833	-6.9	0.5642
-5.5	1.1838	1.1833	-6.8	0.6084
-5.4	1.1838	1.1833	-6.7	0.6530
-5.3	1.1838	1.1833	-6.6	0.6980
-5.2	1.1838	1.1833	-6.4	0.7430
-5.1	1.1838	1.1833	-6.3	0.7881
-5.0	1.1838	1.1833	-6.2	0.8329
-4.9	1.1838	1.1833	-6.1	0.8772
-4.8	1.1838	1.1834	-6.0	0.9207
-4.7	1.1839	1.1834	-5.9	0.9632
-4.7	1.1839	1.1834	-5.7	1.0042
-4.6	1.1839	1.1834	-5.6	1.0435
-4.5	1.1839	1.1835	-5.5	1.0807
-4.4	1.1840	1.1835	-5.4	1.1155
-4.3	1.1840	1.1835	-5.3	1.1475
-4.2	1.1840	1.1836	-5.2	1.1766
-4.1	1.1840	1.1836	-5.0	1.2026
-4.0	1.1841	1.1836	-4.9	1.2252
-3.9	1.1841	1.1836	-4.8	1.2444
-3.8	1.1841	1.1836	-4.7	1.2601
-3.7	1.1841	1.1836	-4.6	1.2722
-3.6	1.1841	1.1836	-4.5	1.2807
-3.5	1.1841	1.1836	-4.3	1.2856
-3.4	1.1841	1.1836	-4.2	1.2869
-3.3	1.1841	1.1836	-4.1	1.2846
-3.2	1.1841	1.1836	-4.0	1.2787
-3.2	1.1841	1.1836	-3.9	1.2691
-3.1	1.1841	1.1836	-3.8	1.2560
-3.0	1.1840	1.1836	-3.7	1.2393
-2.9	1.1840	1.1835	-3.5	1.2191
-2.8	1.1840	1.1835	-3.4	1.1954
-2.7	1.1840	1.1835	-3.3	1.1685
-2.6	1.1839	1.1835	-3.2	1.1385
-2.5	1.1839	1.1834	-3.1	1.1056
-2.4	1.1839	1.1834	-3.0	1.0701
-2.3	1.1839	1.1834	-2.8	1.0323
-2.2	1.1838	1.1834	-2.7	0.9924
-2.1	1.1838	1.1834	-2.6	0.9509
-2.0	1.1838	1.1834	-2.5	0.9081
-1.9	1.1838	1.1833	-2.4	0.8643
