Blocks width = 20
ID length[m]	Blocks height[mm]	Field Roll-off[%]
0.40	13.3	11.881
0.54	13.5	11.863
0.67	13.5	11.880
0.81	13.8	11.870
0.95	14.0	11.866
1.08	14.5	11.847
1.22	14.8	11.859
1.36	15.3	11.857
1.49	15.6	11.887
1.63	16.1	11.909
1.77	16.8	11.933
1.91	17.3	11.987
2.04	18.1	12.042
2.18	18.8	12.118
2.32	19.6	12.227
2.45	20.6	12.344
2.59	21.6	12.478
2.73	22.9	12.649
2.86	24.1	12.836
3.00	25.7	13.032
Blocks width = 25
ID length[m]	Blocks height[mm]	Field Roll-off[%]
0.40	10.0	2.537
0.54	10.0	2.581
0.67	10.0	2.633
0.81	10.0	2.694
0.95	10.0	2.764
1.08	10.0	2.841
1.22	10.0	2.926
1.36	10.0	3.018
1.49	10.0	3.116
1.63	10.3	3.237
1.77	10.5	3.364
1.91	10.8	3.497
2.04	11.0	3.636
2.18	11.3	3.781
2.32	11.8	3.935
2.45	12.0	4.083
2.59	12.5	4.246
2.73	13.0	4.404
2.86	13.5	4.565
3.00	14.0	4.729
Blocks width = 30
ID length[m]	Blocks height[mm]	Field Roll-off[%]
0.40	10.0	1.265
0.54	10.0	1.300
0.67	10.0	1.341
0.81	10.0	1.390
0.95	10.0	1.445
1.08	10.0	1.506
1.22	10.0	1.573
1.36	10.0	1.646
1.49	10.0	1.724
1.63	10.0	1.808
1.77	10.0	1.896
1.91	10.0	1.989
2.04	10.0	2.086
2.18	10.0	2.187
2.32	10.0	2.292
2.45	10.0	2.400
2.59	10.0	2.512
2.73	10.3	2.654
2.86	10.5	2.799
3.00	11.0	2.976
Blocks width = 35
ID length[m]	Blocks height[mm]	Field Roll-off[%]
0.40	10.0	0.725
0.54	10.0	0.754
0.67	10.0	0.788
0.81	10.0	0.827
0.95	10.0	0.872
1.08	10.0	0.921
1.22	10.0	0.976
1.36	10.0	1.034
1.49	10.0	1.097
1.63	10.0	1.163
1.77	10.0	1.233
1.91	10.0	1.306
2.04	10.0	1.382
2.18	10.0	1.461
2.32	10.0	1.542
2.45	10.0	1.626
2.59	10.0	1.711
2.73	10.0	1.798
2.86	10.0	1.887
3.00	10.0	1.978
