Blocks width = 20
ID length[m]	Blocks height[mm]	Field Roll-off[%]
0.40	15.6	14.485
0.54	15.8	14.441
0.67	16.1	14.399
0.81	16.3	14.359
0.95	16.6	14.322
1.08	17.1	14.238
1.22	17.6	14.158
1.36	18.1	14.082
1.49	18.8	13.962
1.63	19.3	13.892
1.77	20.4	13.733
1.91	21.1	13.629
2.04	22.1	13.490
2.18	23.4	13.345
2.32	24.6	13.222
2.45	26.2	13.066
2.59	27.7	12.935
2.73	29.7	12.827
2.86	32.0	12.749
3.00	34.5	12.694
Blocks width = 25
ID length[m]	Blocks height[mm]	Field Roll-off[%]
0.40	11.5	4.535
0.54	11.8	4.572
0.67	11.8	4.593
0.81	12.0	4.638
0.95	12.3	4.687
1.08	12.5	4.740
1.22	12.5	4.776
1.36	13.0	4.856
1.49	13.3	4.920
1.63	13.5	4.987
1.77	14.0	5.077
1.91	14.3	5.151
2.04	14.8	5.246
2.18	15.3	5.344
2.32	15.8	5.441
2.45	16.6	5.557
2.59	17.3	5.671
2.73	17.8	5.773
2.86	18.8	5.901
3.00	19.6	6.016
Blocks width = 30
ID length[m]	Blocks height[mm]	Field Roll-off[%]
0.40	10.0	0.575
0.54	10.0	0.580
0.67	10.0	0.586
0.81	10.0	0.593
0.95	10.0	0.601
1.08	10.0	0.610
1.22	10.0	0.620
1.36	10.0	0.632
1.49	10.0	0.645
1.63	10.0	0.659
1.77	10.0	0.675
1.91	10.3	0.687
2.04	10.5	0.702
2.18	10.8	0.718
2.32	11.0	0.737
2.45	11.5	0.753
2.59	11.8	0.774
2.73	12.3	0.793
2.86	12.5	0.820
3.00	13.0	0.843
Blocks width = 35
ID length[m]	Blocks height[mm]	Field Roll-off[%]
0.40	10.0	0.221
0.54	10.0	0.224
0.67	10.0	0.228
0.81	10.0	0.233
0.95	10.0	0.239
1.08	10.0	0.246
1.22	10.0	0.254
1.36	10.0	0.262
1.49	10.0	0.272
1.63	10.0	0.282
1.77	10.0	0.294
1.91	10.0	0.307
2.04	10.0	0.321
2.18	10.0	0.336
2.32	10.0	0.353
2.45	10.0	0.370
2.59	10.0	0.390
2.73	10.0	0.410
2.86	10.3	0.431
3.00	10.8	0.452
