X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
-6	-4	-1773	-9.6413e-10	7.56744e-07	-4.2039e-08
0	-4	-1773	9.39713e-17	7.57466e-07	-4.20898e-08
6	-4	-1773	9.64127e-10	7.56744e-07	-4.2039e-08
-6	0	-1773	3.75824e-17	7.57728e-07	-2.41545e-16
0	0	-1773	1.40955e-16	7.58451e-07	7.46016e-16
6	0	-1773	-3.32662e-15	7.57728e-07	-3.99178e-15
-6	4	-1773	9.64124e-10	7.56744e-07	4.2039e-08
0	4	-1773	4.97114e-15	7.57466e-07	4.20898e-08
6	4	-1773	-9.64121e-10	7.56744e-07	4.2039e-08
-6	-4	-1770	-1.01645e-09	7.88984e-07	-4.40482e-08
0	-4	-1770	-2.16136e-15	7.89746e-07	-4.41021e-08
6	-4	-1770	1.01645e-09	7.88984e-07	-4.40482e-08
-6	0	-1770	7.51771e-17	7.90021e-07	-5.82414e-16
0	0	-1770	-3.51457e-15	7.90785e-07	1.02589e-15
6	0	-1770	-9.49115e-16	7.90021e-07	-1.79952e-15
-6	4	-1770	1.01646e-09	7.88984e-07	4.40482e-08
0	4	-1770	-3.34542e-15	7.89746e-07	4.41021e-08
6	4	-1770	-1.01645e-09	7.88984e-07	4.40482e-08
-6	-4	-1767	-1.07199e-09	8.2277e-07	-4.61671e-08
0	-4	-1767	5.88268e-15	8.23573e-07	-4.62244e-08
6	-4	-1767	1.072e-09	8.2277e-07	-4.61671e-08
-6	0	-1767	1.49417e-15	8.23864e-07	3.82411e-15
0	0	-1767	-1.78553e-16	8.24669e-07	-8.36818e-16
6	0	-1767	5.07443e-16	8.23864e-07	1.27071e-15
-6	4	-1767	1.072e-09	8.2277e-07	4.61671e-08
0	4	-1767	1.65392e-15	8.23573e-07	4.62244e-08
6	4	-1767	-1.072e-09	8.2277e-07	4.61671e-08
-6	-4	-1764	-1.13099e-09	8.58185e-07	-4.84026e-08
0	-4	-1764	-1.56933e-15	8.59033e-07	-4.84634e-08
6	-4	-1764	1.13099e-09	8.58185e-07	-4.84026e-08
-6	0	-1764	4.62344e-15	8.5934e-07	-7.51241e-16
0	0	-1764	-1.31567e-16	8.6019e-07	-4.60101e-15
6	0	-1764	5.08391e-15	8.5934e-07	-2.14822e-15
-6	4	-1764	1.13098e-09	8.58185e-07	4.84026e-08
0	4	-1764	-5.45979e-15	8.59033e-07	4.84634e-08
6	4	-1764	-1.13098e-09	8.58185e-07	4.84026e-08
-6	-4	-1761	-1.19365e-09	8.95321e-07	-5.07619e-08
0	-4	-1761	7.77152e-15	8.96216e-07	-5.08265e-08
6	-4	-1761	1.19366e-09	8.95321e-07	-5.07619e-08
-6	0	-1761	1.47537e-15	8.96541e-07	1.74169e-15
0	0	-1761	2.95073e-15	8.97437e-07	-2.46185e-15
6	0	-1761	-5.80749e-15	8.96541e-07	3.52449e-15
-6	4	-1761	1.19366e-09	8.95321e-07	5.07619e-08
0	4	-1761	-2.67821e-15	8.96216e-07	5.08265e-08
6	4	-1761	-1.19366e-09	8.95321e-07	5.07619e-08
-6	-4	-1758	-1.26027e-09	9.34273e-07	-5.32528e-08
0	-4	-1758	1.86066e-15	9.35217e-07	-5.33216e-08
6	-4	-1758	1.26028e-09	9.34273e-07	-5.32529e-08
-6	0	-1758	-4.70802e-15	9.3556e-07	2.78943e-15
0	0	-1758	7.1607e-15	9.36507e-07	-3.29981e-15
6	0	-1758	1.11827e-15	9.3556e-07	1.76011e-16
-6	4	-1758	1.26027e-09	9.34273e-07	5.32528e-08
0	4	-1758	2.26474e-15	9.35217e-07	5.33216e-08
6	4	-1758	-1.26028e-09	9.34273e-07	5.32529e-08
-6	-4	-1755	-1.33111e-09	9.75141e-07	-5.58838e-08
0	-4	-1755	-1.6915e-15	9.76139e-07	-5.59569e-08
6	-4	-1755	1.3311e-09	9.75141e-07	-5.58838e-08
-6	0	-1755	3.24205e-15	9.76502e-07	-2.82997e-15
0	0	-1755	-1.24984e-15	9.77501e-07	-1.7061e-15
