Block height = 20
Block width[mm]	Beff[T]	Field Roll-off[%]
55.0	1.1730	0.0129
60.0	1.1760	0.0168
65.0	1.1778	0.0062
70.0	1.1787	-0.0083
75.0	1.1791	-0.0135
80.0	1.1793	-0.0068
Block height = 30
Block width[mm]	Beff[T]	Field Roll-off[%]
55.0	1.2552	0.0232
60.0	1.2581	0.0363
65.0	1.2597	0.0300
70.0	1.2606	0.0148
75.0	1.2611	0.0025
80.0	1.2613	-0.0013
Block height = 40
Block width[mm]	Beff[T]	Field Roll-off[%]
55.0	1.2885	0.0402
60.0	1.2919	0.0732
65.0	1.2943	0.0871
70.0	1.2961	0.0782
75.0	1.2972	0.0532
80.0	1.2977	0.0238
Block height = 50
Block width[mm]	Beff[T]	Field Roll-off[%]
55.0	1.3152	0.0548
60.0	1.3188	0.1034
65.0	1.3216	0.1258
70.0	1.3237	0.1165
75.0	1.3253	0.0841
80.0	1.3265	0.0435
