X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
6	4	-1776	-1.00048e-09	8.08946e-07	4.40879e-08
-6	-4	-1773	-1.05419e-09	8.42748e-07	-4.61672e-08
0	-4	-1773	3.19506e-15	8.43539e-07	-4.62226e-08
6	-4	-1773	1.05419e-09	8.42748e-07	-4.61672e-08
-6	0	-1773	1.61633e-15	8.43821e-07	-2.90963e-15
0	0	-1773	2.82858e-15	8.44612e-07	-5.42412e-15
6	0	-1773	1.83246e-15	8.43821e-07	-9.50085e-15
-6	4	-1773	1.05419e-09	8.42748e-07	4.61672e-08
0	4	-1773	-1.6821e-15	8.43539e-07	4.62226e-08
6	4	-1773	-1.05419e-09	8.42748e-07	4.61672e-08
-6	-4	-1770	-1.11118e-09	8.78149e-07	-4.83588e-08
0	-4	-1770	-2.98833e-15	8.78983e-07	-4.84176e-08
6	-4	-1770	1.11118e-09	8.78149e-07	-4.83588e-08
-6	0	-1770	-1.88885e-15	8.7928e-07	-6.12508e-15
0	0	-1770	-1.45657e-15	8.80115e-07	-1.2909e-15
6	0	-1770	-4.91475e-15	8.7928e-07	-5.71795e-15
-6	4	-1770	1.11117e-09	8.78149e-07	4.83588e-08
0	4	-1770	3.11988e-15	8.78983e-07	4.84176e-08
6	4	-1770	-1.11119e-09	8.78149e-07	4.83588e-08
-6	-4	-1767	-1.17168e-09	9.15236e-07	-5.06696e-08
0	-4	-1767	-5.03692e-15	9.16115e-07	-5.0732e-08
6	-4	-1767	1.17167e-09	9.15236e-07	-5.06696e-08
-6	0	-1767	1.58813e-15	9.16429e-07	-2.01359e-15
0	0	-1767	-5.32823e-15	9.17309e-07	-5.5097e-15
6	0	-1767	-1.98282e-15	9.16429e-07	-6.03734e-15
-6	4	-1767	1.17167e-09	9.15236e-07	5.06696e-08
0	4	-1767	-4.54827e-15	9.16115e-07	5.0732e-08
6	4	-1767	-1.17168e-09	9.15236e-07	5.06696e-08
-6	-4	-1764	-1.2359e-09	9.54101e-07	-5.3107e-08
0	-4	-1764	-3.10109e-15	9.55027e-07	-5.31732e-08
6	-4	-1764	1.2359e-09	9.54101e-07	-5.3107e-08
-6	0	-1764	2.44325e-16	9.55359e-07	-6.21851e-15
0	0	-1764	1.06189e-15	9.56287e-07	-5.97127e-15
6	0	-1764	-3.28903e-16	9.55359e-07	-6.09752e-15
-6	4	-1764	1.2359e-09	9.54101e-07	5.31069e-08
0	4	-1764	-1.24044e-15	9.55027e-07	5.31732e-08
6	4	-1764	-1.2359e-09	9.54101e-07	5.31069e-08
-6	-4	-1761	-1.30413e-09	9.9484e-07	-5.56787e-08
0	-4	-1761	3.98442e-15	9.95818e-07	-5.57491e-08
6	-4	-1761	1.30413e-09	9.9484e-07	-5.56787e-08
-6	0	-1761	2.25525e-16	9.96168e-07	-6.56867e-15
0	0	-1761	4.34152e-15	9.97147e-07	-4.14493e-15
6	0	-1761	3.10109e-16	9.96168e-07	-4.40102e-15
-6	4	-1761	1.30412e-09	9.9484e-07	5.56787e-08
0	4	-1761	1.26862e-15	9.95818e-07	5.57491e-08
6	4	-1761	-1.30413e-09	9.9484e-07	5.56787e-08
-6	-4	-1758	-1.37663e-09	1.03756e-06	-5.83933e-08
0	-4	-1758	-4.87716e-15	1.03859e-06	-5.84681e-08
6	-4	-1758	1.37664e-09	1.03756e-06	-5.83933e-08
-6	0	-1758	-4.28515e-15	1.03896e-06	-4.84875e-15
0	0	-1758	-1.22164e-15	1.03999e-06	-4.07376e-15
6	0	-1758	-2.65002e-15	1.03896e-06	-4.06136e-16
-6	4	-1758	1.37665e-09	1.03756e-06	5.83933e-08
0	4	-1758	-4.60464e-15	1.03859e-06	5.84681e-08
6	4	-1758	-1.37665e-09	1.03756e-06	5.83933e-08
-6	-4	-1755	-1.45373e-09	1.08237e-06	-6.12598e-08
0	-4	-1755	-6.23036e-15	1.08346e-06	-6.13394e-08
6	-4	-1755	1.45374e-09	1.08237e-06	-6.12598e-08
-6	0	-1755	2.02981e-15	1.08385e-06	-1.00345e-15
0	0	-1755	-3.82468e-15	1.08494e-06	-5.52987e-15
6	0	-1755	-9.58526e-16	1.08385e-06	-5.84011e-15
-6	4	-1755	1.45374e-09	1.08237e-06	6.12598e-08
0	4	-1755	-3.57095e-16	1.08346e-06	6.13394e-08
6	4	-1755	-1.45374e-09	1.08237e-06	6.12598e-08
-6	-4	-1752	-1.53573e-09	1.12938e-06	-6.42879e-08
0	-4	-1752	6.78481e-15	1.13053e-06	-6.43725e-08
6	-4	-1752	1.53573e-09	1.12938e-06	-6.42879e-08
-6	0	-1752	-6.53109e-15	1.13094e-06	-8.08538e-15
0	0	-1752	-6.85998e-15	1.1321e-06	-4.33954e-15
6	0	-1752	4.98055e-16	1.13094e-06	-2.54822e-15
-6	4	-1752	1.53573e-09	1.12938e-06	6.42879e-08
0	4	-1752	-1.09008e-15	1.13053e-06	6.43725e-08
6	4	-1752	-1.53574e-09	1.12938e-06	6.42879e-08
-6	-4	-1749	-1.623e-09	1.17873e-06	-6.74878e-08
0	-4	-1749	3.10104e-16	1.17994e-06	-6.75779e-08
6	-4	-1749	1.62299e-09	1.17873e-06	-6.74878e-08
-6	0	-1749	-5.4692e-15	1.18038e-06	-1.00879e-14
0	0	-1749	3.28903e-15	1.1816e-06	-7.70323e-15
6	0	-1749	-8.23198e-15	1.18038e-06	-3.79285e-15
-6	4	-1749	1.623e-09	1.17873e-06	6.74878e-08
0	4	-1749	1.65391e-15	1.17994e-06	6.75779e-08
6	4	-1749	-1.623e-09	1.17873e-06	6.74878e-08
-6	-4	-1746	-1.7159e-09	1.23053e-06	-7.08708e-08
0	-4	-1746	-5.45034e-16	1.23182e-06	-7.09667e-08
6	-4	-1746	1.71589e-09	1.23053e-06	-7.08708e-08
-6	0	-1746	-2.77218e-15	1.23228e-06	-6.93844e-15
0	0	-1746	-1.76668e-15	1.23357e-06	-6.73152e-15
6	0	-1746	-1.0337e-15	1.23228e-06	-5.91457e-15
-6	4	-1746	1.7159e-09	1.23053e-06	7.08708e-08
0	4	-1746	-2.49966e-15	1.23182e-06	7.09667e-08
6	4	-1746	-1.7159e-09	1.23053e-06	7.08708e-08
-6	-4	-1743	-1.81485e-09	1.28495e-06	-7.44486e-08
0	-4	-1743	-7.04799e-16	1.28631e-06	-7.45508e-08
6	-4	-1743	1.81485e-09	1.28495e-06	-7.44486e-08
-6	0	-1743	-6.31494e-15	1.2868e-06	-6.74062e-15
0	0	-1743	4.65162e-15	1.28816e-06	-7.08563e-15
6	0	-1743	1.93583e-15	1.2868e-06	1.68869e-15
-6	4	-1743	1.81485e-09	1.28495e-06	7.44486e-08
0	4	-1743	-6.95397e-16	1.28631e-06	7.45508e-08
6	4	-1743	-1.81485e-09	1.28495e-06	7.44486e-08
-6	-4	-1740	-1.92028e-09	1.34212e-06	-7.82341e-08
0	-4	-1740	-2.87555e-15	1.34356e-06	-7.83431e-08
6	-4	-1740	1.92028e-09	1.34212e-06	-7.82341e-08
-6	0	-1740	1.09008e-15	1.34408e-06	-6.68736e-15
0	0	-1740	-6.16458e-15	1.34552e-06	-9.78459e-15
6	0	-1740	-2.1613e-16	1.34408e-06	-7.42113e-15
-6	4	-1740	1.92028e-09	1.34212e-06	7.82341e-08
0	4	-1740	-4.755e-15	1.34356e-06	7.83431e-08
6	4	-1740	-1.92029e-09	1.34212e-06	7.82341e-08
-6	-4	-1737	-2.03269e-09	1.40221e-06	-8.22411e-08
0	-4	-1737	-4.80199e-15	1.40373e-06	-8.23572e-08
6	-4	-1737	2.03269e-09	1.40221e-06	-8.22411e-08
-6	0	-1737	-7.51778e-16	1.40428e-06	-6.24983e-15
0	0	-1737	4.05961e-15	1.40581e-06	-3.07999e-15
6	0	-1737	9.86705e-16	1.40428e-06	-6.36299e-15
-6	4	-1737	2.03269e-09	1.40221e-06	8.22411e-08
0	4	-1737	-3.88106e-15	1.40373e-06	8.23572e-08
6	4	-1737	-2.03269e-09	1.40221e-06	8.22411e-08
-6	-4	-1734	-2.15259e-09	1.46538e-06	-8.64842e-08
0	-4	-1734	4.22876e-15	1.467e-06	-8.66081e-08
6	-4	-1734	2.15258e-09	1.46538e-06	-8.64842e-08
-6	0	-1734	-5.63851e-17	1.46758e-06	-8.66471e-15
0	0	-1734	-4.67982e-15	1.46919e-06	-3.30331e-15
6	0	-1734	4.50128e-15	1.46758e-06	-8.41675e-15
-6	4	-1734	2.15259e-09	1.46538e-06	8.64842e-08
0	4	-1734	-3.22325e-15	1.467e-06	8.66081e-08
6	4	-1734	-2.15259e-09	1.46538e-06	8.64842e-08
-6	-4	-1731	-2.28053e-09	1.53183e-06	-9.09793e-08
0	-4	-1731	-9.07773e-15	1.53354e-06	-9.11115e-08
6	-4	-1731	2.28053e-09	1.53183e-06	-9.09793e-08
-6	0	-1731	6.85997e-16	1.53415e-06	-5.81427e-15
0	0	-1731	-6.57851e-17	1.53587e-06	-8.18242e-15
6	0	-1731	3.28892e-16	1.53415e-06	-7.55321e-15
-6	4	-1731	2.28053e-09	1.53183e-06	9.09793e-08
0	4	-1731	-2.56544e-15	1.53354e-06	9.11115e-08
6	4	-1731	-2.28053e-09	1.53183e-06	9.09793e-08
-6	-4	-1728	-2.41714e-09	1.60174e-06	-9.57434e-08
0	-4	-1728	-1.40957e-16	1.60355e-06	-9.58847e-08
6	-4	-1728	2.41713e-09	1.60174e-06	-9.57434e-08
-6	0	-1728	-1.55994e-15	1.6042e-06	-5.51591e-15
0	0	-1728	5.06511e-15	1.60602e-06	-7.88201e-15
6	0	-1728	1.04779e-14	1.6042e-06	-8.27502e-15
-6	4	-1728	2.41714e-09	1.60174e-06	9.57434e-08
0	4	-1728	1.41898e-15	1.60355e-06	9.58846e-08
6	4	-1728	-2.41714e-09	1.60174e-06	9.57434e-08
-6	-4	-1725	-2.56305e-09	1.67532e-06	-1.00795e-07
0	-4	-1725	-3.10101e-16	1.67724e-06	-1.00946e-07
