X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-6	-4	-1800	-5.66593e-10	4.79183e-07	-2.59239e-08
0	-4	-1800	-4.30394e-15	4.79608e-07	-2.59521e-08
6	-4	-1800	5.666e-10	4.79183e-07	-2.59239e-08
-6	0	-1800	3.86226e-15	4.79761e-07	-4.174e-15
0	0	-1800	-4.32269e-16	4.80187e-07	-5.32336e-15
6	0	-1800	-6.48409e-15	4.79761e-07	-6.15976e-16
-6	4	-1800	5.66594e-10	4.79183e-07	2.59239e-08
0	4	-1800	-1.0243e-15	4.79608e-07	2.59521e-08
6	4	-1800	-5.66597e-10	4.79183e-07	2.59239e-08
-6	-4	-1797	-5.95668e-10	4.99045e-07	-2.71031e-08
0	-4	-1797	3.4112e-15	4.99491e-07	-2.7133e-08
6	-4	-1797	5.95663e-10	4.99045e-07	-2.71031e-08
-6	0	-1797	-1.07129e-15	4.99653e-07	-5.43986e-15
0	0	-1797	4.40731e-15	5.001e-07	-4.87327e-15
6	0	-1797	3.48637e-15	4.99653e-07	-1.47174e-15
-6	4	-1797	5.95667e-10	4.99045e-07	2.71031e-08
0	4	-1797	-4.21936e-15	4.99491e-07	2.7133e-08
6	4	-1797	-5.95658e-10	4.99045e-07	2.71031e-08
-6	-4	-1794	-6.26419e-10	5.19812e-07	-2.83432e-08
0	-4	-1794	1.48476e-15	5.20282e-07	-2.83748e-08
6	-4	-1794	6.26411e-10	5.19812e-07	-2.83431e-08
-6	0	-1794	2.72519e-15	5.20452e-07	-7.96278e-15
0	0	-1794	-3.57095e-15	5.20922e-07	-5.36189e-15
6	0	-1794	-4.69878e-17	5.20452e-07	-3.47874e-15
-6	4	-1794	6.26413e-10	5.19812e-07	2.83431e-08
0	4	-1794	-4.15358e-15	5.20282e-07	2.83748e-08
6	4	-1794	-6.26413e-10	5.19812e-07	2.83431e-08
-6	-4	-1791	-6.58959e-10	5.41532e-07	-2.96476e-08
0	-4	-1791	-1.14646e-15	5.42026e-07	-2.96811e-08
6	-4	-1791	6.5896e-10	5.41532e-07	-2.96476e-08
-6	0	-1791	-2.16138e-16	5.42205e-07	-5.57883e-15
0	0	-1791	-2.62183e-15	5.427e-07	-3.78821e-15
6	0	-1791	-3.61794e-15	5.42205e-07	-5.94191e-15
-6	4	-1791	6.58959e-10	5.41532e-07	2.96476e-08
0	4	-1791	3.84347e-15	5.42026e-07	2.96811e-08
6	4	-1791	-6.58963e-10	5.41532e-07	2.96476e-08
-6	-4	-1788	-6.93425e-10	5.64255e-07	-3.10203e-08
0	-4	-1788	-2.91314e-16	5.64774e-07	-3.10558e-08
6	-4	-1788	6.93417e-10	5.64255e-07	-3.10203e-08
-6	0	-1788	-4.44489e-15	5.64963e-07	9.2169e-16
0	0	-1788	-3.7307e-15	5.65483e-07	-3.95247e-15
6	0	-1788	2.99772e-15	5.64963e-07	-9.58098e-16
-6	4	-1788	6.93418e-10	5.64255e-07	3.10203e-08
0	4	-1788	-3.31723e-15	5.64774e-07	3.10558e-08
6	4	-1788	-6.93413e-10	5.64255e-07	3.10203e-08
