X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-6	-4	-1800	-4.55483e-10	3.59423e-07	-2.04844e-08
0	-4	-1800	-8.45746e-17	3.59764e-07	-2.05074e-08
6	-4	-1800	4.55489e-10	3.59423e-07	-2.04844e-08
-6	0	-1800	3.10109e-15	3.5989e-07	-3.34606e-15
0	0	-1800	-3.47695e-16	3.60232e-07	-7.76652e-15
6	0	-1800	9.67914e-16	3.5989e-07	-1.82846e-15
-6	4	-1800	4.55474e-10	3.59423e-07	2.04844e-08
0	4	-1800	-1.46597e-15	3.59764e-07	2.05074e-08
6	4	-1800	-4.55478e-10	3.59423e-07	2.04844e-08
-6	-4	-1797	-4.79101e-10	3.75124e-07	-2.14359e-08
0	-4	-1797	1.22164e-15	3.75483e-07	-2.14602e-08
6	-4	-1797	4.79105e-10	3.75124e-07	-2.14359e-08
-6	0	-1797	1.56935e-15	3.75615e-07	-4.00996e-15
0	0	-1797	1.97342e-15	3.75975e-07	-7.2467e-15
6	0	-1797	-7.98765e-16	3.75615e-07	-5.31589e-15
-6	4	-1797	4.79097e-10	3.75124e-07	2.14359e-08
0	4	-1797	1.54115e-15	3.75483e-07	2.14602e-08
6	4	-1797	-4.79098e-10	3.75124e-07	2.14359e-08
-6	-4	-1794	-5.04101e-10	3.91556e-07	-2.24371e-08
0	-4	-1794	7.10431e-15	3.91934e-07	-2.24629e-08
6	-4	-1794	5.04098e-10	3.91556e-07	-2.24371e-08
-6	0	-1794	7.89373e-16	3.92073e-07	-6.96521e-15
0	0	-1794	8.17562e-16	3.92451e-07	-1.03039e-15
6	0	-1794	3.50517e-15	3.92073e-07	-1.66926e-15
-6	4	-1794	5.04095e-10	3.91556e-07	2.24371e-08
0	4	-1794	3.71191e-15	3.91934e-07	2.24628e-08
6	4	-1794	-5.04099e-10	3.91556e-07	2.24371e-08
-6	-4	-1791	-5.30566e-10	4.08757e-07	-2.34909e-08
0	-4	-1791	2.34931e-15	4.09155e-07	-2.35182e-08
6	-4	-1791	5.30568e-10	4.08757e-07	-2.34909e-08
-6	0	-1791	-2.0298e-15	4.09302e-07	-6.53543e-15
0	0	-1791	2.90375e-15	4.097e-07	-5.59706e-15
6	0	-1791	-4.95234e-15	4.09302e-07	-5.94677e-15
-6	4	-1791	5.30572e-10	4.08757e-07	2.34909e-08
0	4	-1791	-3.20446e-15	4.09155e-07	2.35181e-08
6	4	-1791	-5.30569e-10	4.08757e-07	2.34909e-08
-6	-4	-1788	-5.58611e-10	4.26769e-07	-2.46004e-08
0	-4	-1788	-6.76606e-16	4.27187e-07	-2.46293e-08
6	-4	-1788	5.58606e-10	4.26769e-07	-2.46004e-08
-6	0	-1788	2.81905e-17	4.27342e-07	-3.21851e-15
0	0	-1788	-3.00711e-15	4.27761e-07	-3.92034e-15
6	0	-1788	1.06189e-15	4.27342e-07	-8.11394e-16
-6	4	-1788	5.58605e-10	4.26769e-07	2.46004e-08
0	4	-1788	6.70023e-15	4.27187e-07	2.46293e-08
6	4	-1788	-5.58603e-10	4.26769e-07	2.46004e-08
-6	-4	-1785	-5.88319e-10	4.45633e-07	-2.5769e-08
0	-4	-1785	-4.67042e-15	4.46074e-07	-2.57996e-08
6	-4	-1785	5.88307e-10	4.45633e-07	-2.5769e-08
-6	0	-1785	-4.78319e-15	4.46237e-07	-5.25559e-15
0	0	-1785	-1.21224e-15	4.46679e-07	-4.46291e-15
6	0	-1785	-6.53108e-15	4.46237e-07	-3.30552e-15
-6	4	-1785	5.88309e-10	4.45633e-07	2.5769e-08
0	4	-1785	-1.69142e-16	4.46074e-07	2.57996e-08
6	4	-1785	-5.8831e-10	4.45633e-07	2.5769e-08
-6	-4	-1782	-6.19807e-10	4.65396e-07	-2.70001e-08
0	-4	-1782	8.26961e-16	4.6586e-07	-2.70326e-08
6	-4	-1782	6.19797e-10	4.65396e-07	-2.70001e-08
-6	0	-1782	4.52947e-15	4.66032e-07	-5.76511e-15
0	0	-1782	-1.55054e-15	4.66497e-07	-6.60701e-15
6	0	-1782	-4.4261e-15	4.66032e-07	-5.78743e-15
-6	4	-1782	6.19794e-10	4.65396e-07	2.70001e-08
0	4	-1782	1.40019e-15	4.6586e-07	2.70326e-08
6	4	-1782	-6.19794e-10	4.65396e-07	2.70001e-08
