X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-6	-4	-1800	-5.2815e-10	4.37686e-07	-2.40425e-08
0	-4	-1800	-4.91475e-15	4.38082e-07	-2.4069e-08
6	-4	-1800	5.28145e-10	4.37686e-07	-2.40425e-08
-6	0	-1800	7.51844e-17	4.38226e-07	-1.53417e-15
0	0	-1800	2.78159e-15	4.38622e-07	-1.87183e-15
6	0	-1800	-1.78549e-16	4.38226e-07	-4.15141e-15
-6	4	-1800	5.28147e-10	4.37686e-07	2.40425e-08
0	4	-1800	1.55994e-15	4.38082e-07	2.4069e-08
6	4	-1800	-5.28144e-10	4.37686e-07	2.40425e-08
-6	-4	-1797	-5.5533e-10	4.56108e-07	-2.51432e-08
0	-4	-1797	2.75339e-15	4.56525e-07	-2.51711e-08
6	-4	-1797	5.55327e-10	4.56108e-07	-2.51432e-08
-6	0	-1797	-2.33052e-15	4.56676e-07	-3.62927e-15
0	0	-1797	1.16525e-15	4.57093e-07	5.31264e-16
6	0	-1797	1.52235e-15	4.56676e-07	-3.37182e-15
-6	4	-1797	5.55325e-10	4.56108e-07	2.51431e-08
0	4	-1797	-4.90536e-15	4.56524e-07	2.51711e-08
6	4	-1797	-5.55333e-10	4.56108e-07	2.51431e-08
-6	-4	-1794	-5.84097e-10	4.75376e-07	-2.63008e-08
0	-4	-1794	1.46597e-15	4.75814e-07	-2.63304e-08
6	-4	-1794	5.84095e-10	4.75376e-07	-2.63008e-08
-6	0	-1794	1.70091e-15	4.75974e-07	-5.36239e-15
0	0	-1794	-2.16137e-16	4.76412e-07	2.97935e-15
6	0	-1794	1.56934e-15	4.75974e-07	-3.12058e-15
-6	4	-1794	5.84097e-10	4.75376e-07	2.63008e-08
0	4	-1794	6.46529e-15	4.75814e-07	2.63304e-08
6	4	-1794	-5.84095e-10	4.75376e-07	2.63008e-08
-6	-4	-1791	-6.14539e-10	4.95534e-07	-2.75188e-08
0	-4	-1791	7.23587e-16	4.95995e-07	-2.75501e-08
6	-4	-1791	6.14536e-10	4.95534e-07	-2.75188e-08
-6	0	-1791	1.05249e-15	4.96163e-07	-2.64607e-15
0	0	-1791	-5.12149e-15	4.96624e-07	-8.947e-16
6	0	-1791	-6.39009e-16	4.96163e-07	-1.62121e-15
-6	4	-1791	6.14539e-10	4.95534e-07	2.75188e-08
0	4	-1791	-3.31723e-15	4.95995e-07	2.75501e-08
6	4	-1791	-6.14533e-10	4.95534e-07	2.75188e-08
-6	-4	-1788	-6.46775e-10	5.16627e-07	-2.88007e-08
0	-4	-1788	-2.44328e-16	5.17112e-07	-2.88339e-08
6	-4	-1788	6.46784e-10	5.16627e-07	-2.88007e-08
-6	0	-1788	1.31562e-15	5.17289e-07	-1.93318e-15
0	0	-1788	-5.25305e-15	5.17775e-07	-4.01224e-16
6	0	-1788	-2.3869e-15	5.17289e-07	-5.39748e-15
-6	4	-1788	6.46782e-10	5.16627e-07	2.88007e-08
0	4	-1788	-4.95235e-15	5.17112e-07	2.88339e-08
6	4	-1788	-6.46781e-10	5.16627e-07	2.88007e-08
-6	-4	-1785	-6.80929e-10	5.38706e-07	-3.01503e-08
0	-4	-1785	-1.94523e-15	5.39217e-07	-3.01855e-08
6	-4	-1785	6.80941e-10	5.38706e-07	-3.01503e-08
-6	0	-1785	-5.441e-15	5.39403e-07	-6.34429e-15
0	0	-1785	-2.81895e-17	5.39914e-07	-5.88484e-15
6	0	-1785	2.56544e-15	5.39403e-07	-3.60673e-15
-6	4	-1785	6.80935e-10	5.38706e-07	3.01503e-08
0	4	-1785	1.55994e-15	5.39217e-07	3.01855e-08
6	4	-1785	-6.80928e-10	5.38706e-07	3.01503e-08
-6	-4	-1782	-7.17132e-10	5.61823e-07	-3.15717e-08
0	-4	-1782	3.87166e-15	5.6236e-07	-3.16089e-08
6	-4	-1782	7.1712e-10	5.61823e-07	-3.15717e-08
