X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-6	-4	-1800	-4.84631e-10	3.90796e-07	-2.19122e-08
0	-4	-1800	2.06739e-15	3.91159e-07	-2.19366e-08
6	-4	-1800	4.84632e-10	3.90796e-07	-2.19122e-08
-6	0	-1800	-6.18338e-15	3.91292e-07	6.15639e-15
0	0	-1800	-6.53108e-15	3.91656e-07	4.918e-15
6	0	-1800	4.66103e-15	3.91292e-07	5.51995e-15
-6	4	-1800	4.84632e-10	3.90796e-07	2.19122e-08
0	4	-1800	-4.50127e-15	3.91159e-07	2.19366e-08
6	4	-1800	-4.84626e-10	3.90796e-07	2.19122e-08
-6	-4	-1797	-5.09678e-10	4.07589e-07	-2.29236e-08
0	-4	-1797	-3.13868e-15	4.07971e-07	-2.29494e-08
6	-4	-1797	5.09681e-10	4.07589e-07	-2.29236e-08
-6	0	-1797	-2.13317e-15	4.08111e-07	4.90539e-15
0	0	-1797	-3.59915e-15	4.08493e-07	1.15819e-14
6	0	-1797	-2.49027e-15	4.08111e-07	1.01423e-14
-6	4	-1797	5.09682e-10	4.07589e-07	2.29236e-08
0	4	-1797	3.00712e-15	4.07971e-07	2.29494e-08
6	4	-1797	-5.09681e-10	4.07589e-07	2.29236e-08
-6	-4	-1794	-5.36195e-10	4.25159e-07	-2.39877e-08
0	-4	-1794	3.0729e-15	4.25561e-07	-2.4015e-08
6	-4	-1794	5.36197e-10	4.25159e-07	-2.39877e-08
-6	0	-1794	-7.26406e-15	4.25708e-07	7.35679e-15
0	0	-1794	5.14969e-15	4.26111e-07	6.9875e-15
6	0	-1794	3.49577e-15	4.25708e-07	4.99755e-15
-6	4	-1794	5.36197e-10	4.25159e-07	2.39877e-08
0	4	-1794	2.81878e-17	4.25561e-07	2.4015e-08
6	4	-1794	-5.36193e-10	4.25159e-07	2.39877e-08
-6	-4	-1791	-5.64257e-10	4.43547e-07	-2.51074e-08
0	-4	-1791	-3.93744e-15	4.4397e-07	-2.51363e-08
