X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
6	4	-1776	-6.65154e-10	4.85261e-07	2.85786e-08
-6	-4	-1773	-7.01528e-10	5.07188e-07	-2.99729e-08
0	-4	-1773	-9.21869e-15	5.07714e-07	-3.00104e-08
6	-4	-1773	7.01521e-10	5.07188e-07	-2.99729e-08
-6	0	-1773	-4.24755e-15	5.0791e-07	-2.11952e-15
0	0	-1773	-9.96109e-16	5.08437e-07	-7.06592e-15
6	0	-1773	-4.72681e-15	5.0791e-07	-5.38145e-16
-6	4	-1773	7.01526e-10	5.07188e-07	2.99729e-08
0	4	-1773	-5.24366e-15	5.07714e-07	3.00104e-08
6	4	-1773	-7.01531e-10	5.07188e-07	2.99729e-08
-6	-4	-1770	-7.40147e-10	5.30188e-07	-3.14442e-08
0	-4	-1770	-2.43389e-15	5.30743e-07	-3.1484e-08
6	-4	-1770	7.40137e-10	5.30188e-07	-3.14442e-08
-6	0	-1770	-3.69312e-15	5.3095e-07	-5.00441e-15
0	0	-1770	-9.3033e-16	5.31505e-07	-4.62913e-15
6	0	-1770	-2.48087e-15	5.3095e-07	-6.26006e-15
-6	4	-1770	7.40147e-10	5.30188e-07	3.14441e-08
0	4	-1770	-9.49117e-16	5.30743e-07	3.1484e-08
6	4	-1770	-7.40149e-10	5.30188e-07	3.14441e-08
-6	-4	-1767	-7.81162e-10	5.5432e-07	-3.2997e-08
0	-4	-1767	-2.3869e-15	5.54906e-07	-3.30393e-08
6	-4	-1767	7.81162e-10	5.5432e-07	-3.2997e-08
-6	0	-1767	-1.77608e-15	5.55124e-07	-1.00069e-14
0	0	-1767	6.40892e-15	5.5571e-07	-5.21911e-15
6	0	-1767	2.24594e-15	5.55124e-07	-7.95982e-15
-6	4	-1767	7.81168e-10	5.5432e-07	3.2997e-08
0	4	-1767	-1.86065e-15	5.54906e-07	3.30393e-08
6	4	-1767	-7.81162e-10	5.5432e-07	3.2997e-08
-6	-4	-1764	-8.24747e-10	5.79647e-07	-3.46366e-08
0	-4	-1764	1.17466e-15	5.80265e-07	-3.46815e-08
6	-4	-1764	8.24745e-10	5.79647e-07	-3.46366e-08
-6	0	-1764	-4.27574e-15	5.80496e-07	-4.33776e-15
0	0	-1764	4.51066e-16	5.81115e-07	-6.34776e-15
6	0	-1764	-7.51773e-16	5.80496e-07	-6.84315e-15
-6	4	-1764	8.24744e-10	5.79647e-07	3.46366e-08
0	4	-1764	-1.53175e-15	5.80265e-07	3.46815e-08
6	4	-1764	-8.24749e-10	5.79647e-07	3.46366e-08
-6	-4	-1761	-8.71089e-10	6.06236e-07	-3.63684e-08
