Block height = 20
Block width[mm]	Beff[T]	Field Roll-off[%]
55.0	1.1798	0.0041
60.0	1.1818	0.0121
65.0	1.1826	0.0100
70.0	1.1827	-0.0029
75.0	1.1823	-0.0162
80.0	1.1817	-0.0184
Block height = 30
Block width[mm]	Beff[T]	Field Roll-off[%]
55.0	1.2600	0.0121
60.0	1.2621	0.0282
65.0	1.2631	0.0337
70.0	1.2632	0.0229
75.0	1.2630	0.0081
80.0	1.2627	-0.0019
Block height = 40
Block width[mm]	Beff[T]	Field Roll-off[%]
55.0	1.2911	0.0150
60.0	1.2934	0.0480
65.0	1.2950	0.0750
70.0	1.2960	0.0837
75.0	1.2966	0.0723
80.0	1.2967	0.0458
Block height = 50
Block width[mm]	Beff[T]	Field Roll-off[%]
55.0	1.3161	0.0196
60.0	1.3186	0.0751
65.0	1.3204	0.1194
70.0	1.3218	0.1354
75.0	1.3228	0.1222
80.0	1.3235	0.0885
